,City,Date,Latitude,Longitude,patient_count,EVENT_ID,County,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,Impact,distance_km,day_of_week,patient_dow_norm
0,Carbondale,2024-01-02,38.8186156,-95.6891498,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.743315381762707
1,Carbondale,2025-01-02,38.8186156,-95.6891498,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.31210657076908765
2,Carbondale,2022-01-03,38.8186156,-95.6891498,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2.4422488365582393
3,Carbondale,2023-01-03,38.8186156,-95.6891498,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.4104667253948352
4,Carbondale,2024-01-03,38.8186156,-95.6891498,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.21706065740173724
5,Carbondale,2025-01-03,38.8186156,-95.6891498,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-0.20203970056065762
6,Carbondale,2022-01-04,38.8186156,-95.6891498,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.2566291111071629
7,Carbondale,2023-01-04,38.8186156,-95.6891498,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.532319294331078
8,Carbondale,2024-01-04,38.8186156,-95.6891498,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.8260070310996142
9,Carbondale,2022-01-05,38.8186156,-95.6891498,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0552156711312193
10,Carbondale,2023-01-05,38.8186156,-95.6891498,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.9853649742923012
11,Carbondale,2024-01-05,38.8186156,-95.6891498,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.6628320000849637
12,Carbondale,2022-01-06,38.8186156,-95.6891498,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.7237200599833779
13,Carbondale,2023-01-06,38.8186156,-95.6891498,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.9511225669668374
14,Carbondale,2022-01-07,38.8186156,-95.6891498,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.4646480430966746
15,Carbondale,2025-01-07,38.8186156,-95.6891498,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1.6411676396962134
16,Carbondale,2024-01-08,38.8186156,-95.6891498,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.5840891057838874
17,Carbondale,2025-01-08,38.8186156,-95.6891498,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.21706065740173724
18,Carbondale,2023-01-09,38.8186156,-95.6891498,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16178007606244377
